"mod_setup","mtry","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
"up_tune",2,0.745213694852941,0.54,0.849816176470588,0.110865038578858,0.162718384724261,0.0915439386778885
"down_tune",2,0.735912224264706,0.645,0.724926470588235,0.11821560802068,0.191122415686329,0.117526746078624
"up_fulldata",8,0.732317073170732,0.525,0.859756097560976,NA,NA,NA
"orig_tune",2,0.730677849264706,0.44875,0.900036764705882,0.129038977838864,0.182137109803787,0.0821430788124474
"up_train",8,0.724852941176471,0.51375,0.836691176470588,0.108761820056059,0.170315178715845,0.0918860332371079
"down_fulldata",8,0.723780487804878,0.65,0.676829268292683,NA,NA,NA
"orig_train",8,0.716780790441176,0.45375,0.894301470588235,0.108839385846074,0.161525829000638,0.0836887131731369
"down_train",8,0.7159375,0.625,0.708676470588235,0.117683459955621,0.158910431540932,0.135311513968508
"orig_fulldata",8,0.713795731707317,0.4625,0.896341463414634,NA,NA,NA
