"accuracy","oob_accuracy","threat_acc","sec_acc","n_threat","n_sec","in_auc","out_auc","mod","mtry"
0.727272727272727,0.801773422346557,0.613742157273436,0.872165748582268,8,3,0.891398809523809,0.916666666666667,1,3
0.818181818181818,0.790275962474414,0.54215001556178,0.883448062783605,8,3,0.907797619047619,0.708333333333333,2,4
0.636363636363636,0.825449027683842,0.602670207141786,0.908822627707295,8,3,0.899449404761904,0.75,3,15
0.909090909090909,0.802971602253955,0.567922463945073,0.891068624987055,8,3,0.889732142857143,0.958333333333333,4,2
0.818181818181818,0.790595275387553,0.489235650704072,0.90357286153015,8,3,0.892827380952381,0.833333333333333,5,4
0.818181818181818,0.792063275494318,0.535618027375201,0.888298808374016,8,3,0.881934523809523,0.958333333333333,6,3
0.818181818181818,0.833528981189294,0.695235359942202,0.885250995872628,8,3,0.904583333333333,0.875,7,121
1,0.788679823156601,0.564087112147112,0.872986310631991,8,3,0.865714285714286,1,8,122
0.818181818181818,0.822814477286663,0.639414604236343,0.89159698197683,8,3,0.88360119047619,0.916666666666667,9,48
0.818181818181818,0.80927321012335,0.599225805305805,0.88834791195552,8,3,0.889702380952381,0.916666666666667,10,18
0.454545454545455,0.881792276699959,0.742891478891479,0.93410305435964,8,3,0.939166666666666,0.583333333333333,11,117
0.909090909090909,0.777411327488776,0.595537080610022,0.845617452720774,8,3,0.885773809523809,0.958333333333333,12,131
0.818181818181818,0.818079073685467,0.61534734830387,0.894121135053602,8,3,0.905416666666666,0.791666666666667,13,139
0.636363636363636,0.819131899421977,0.623397159668029,0.892528697263289,8,3,0.899136904761905,0.791666666666667,14,6
0.727272727272727,0.825783600987753,0.661866802696214,0.887375667004519,8,3,0.885416666666666,0.75,15,17
0.909090909090909,0.794010328001175,0.481697671249845,0.911189837465561,8,3,0.865297619047619,1,16,2
0.818181818181818,0.817073353404565,0.66791277073126,0.873268593436559,8,3,0.906934523809524,0.875,17,132
0.909090909090909,0.793498687872278,0.545972091086302,0.886290090910374,8,3,0.865223214285714,1,18,9
0.909090909090909,0.804881232226062,0.617700499371804,0.875082227516966,8,3,0.8725,1,19,10
0.909090909090909,0.797789285047281,0.553186327803902,0.889386616669969,8,3,0.882529761904762,1,20,2
0.636363636363636,0.820692325708961,0.629017508417508,0.892476296691976,8,3,0.90485119047619,0.833333333333333,21,29
0.636363636363636,0.822591142406296,0.584993420661464,0.911643372332197,8,3,0.906130952380952,0.75,22,2
0.818181818181818,0.798978130940439,0.558098968471142,0.889323928634324,8,3,0.886116071428571,0.958333333333333,23,5
0.727272727272727,0.822267779521737,0.589272039337798,0.909473028073984,8,3,0.880833333333333,0.916666666666667,24,4
0.727272727272727,0.822146030003929,0.649154626241429,0.886840337027352,8,3,0.893065476190476,0.958333333333333,25,140
1,0.766631276753125,0.477013024013024,0.875281774052596,8,3,0.873839285714285,1,26,2
0.727272727272727,0.833950486011023,0.622054416052208,0.913368965339985,8,3,0.915148809523809,0.708333333333333,27,5
1,0.789666146003881,0.585743083647431,0.866069221288779,8,3,0.873541666666666,1,28,141
0.727272727272727,0.840138850392536,0.645191908831909,0.91338276021899,8,3,0.903839285714285,0.75,29,135
0.818181818181818,0.820522098583422,0.625241187733362,0.893773893483123,8,3,0.885595238095238,1,30,20
0.818181818181818,0.792890279642914,0.514968857808858,0.897129758973529,8,3,0.877886904761905,0.916666666666667,31,2
0.909090909090909,0.805404114025733,0.642001537351537,0.86665934443849,8,3,0.887470238095238,0.958333333333333,32,107
0.909090909090909,0.798572233646968,0.616554469613932,0.866815062576983,8,3,0.876309523809523,0.958333333333333,33,146
0.636363636363636,0.82633522585965,0.644449086490851,0.894488767119193,8,3,0.912291666666666,0.708333333333333,34,7
0.818181818181818,0.817357225247756,0.593141362341362,0.901706821908526,8,3,0.902946428571429,0.916666666666667,35,8
0.909090909090909,0.797043942619406,0.5909767855223,0.87439717411346,8,3,0.884880952380952,1,36,150
0.909090909090909,0.788061122194688,0.530512458030994,0.884739135379418,8,3,0.870848214285714,1,37,3
0.909090909090909,0.813799983834319,0.616044929597257,0.88795210331143,8,3,0.890922619047619,0.833333333333333,38,24
0.909090909090909,0.78739850636197,0.53530650293346,0.881832614287076,8,3,0.88875,0.916666666666667,39,3
0.636363636363636,0.836906381403819,0.667911222500696,0.900283819065291,8,3,0.908154761904762,0.875,40,103
0.727272727272727,0.825623361639072,0.636789191549192,0.896472306986595,8,3,0.909077380952381,0.666666666666667,41,26
0.727272727272727,0.825763459357223,0.623739237244237,0.90145840066696,8,3,0.896547619047619,0.875,42,150
0.818181818181818,0.832861133920943,0.606213355629877,0.91786251839394,8,3,0.892232142857142,0.833333333333333,43,38
0.636363636363636,0.826815132233837,0.638145141476881,0.897623326364279,8,3,0.908005952380952,0.625,44,145
0.909090909090909,0.810071244507794,0.600490530171583,0.888677090451118,8,3,0.872232142857142,1,45,75
0.909090909090909,0.810168591730803,0.60574866901531,0.886671815722624,8,3,0.892723214285714,0.958333333333333,46,135
1,0.804590426873543,0.568932854182854,0.893013198017028,8,3,0.876398809523809,1,47,60
0.636363636363636,0.8271530894589,0.610643329030492,0.908368757161956,8,3,0.884642857142857,0.875,48,5
0.818181818181818,0.803766593340334,0.588417081686006,0.884747145808338,8,3,0.869940476190476,0.916666666666667,49,5
0.818181818181818,0.810190992489385,0.605319715542107,0.887027086276607,8,3,0.881279761904762,0.916666666666667,50,142
0.818181818181818,0.808990526474101,0.628787430658163,0.876570626990775,8,3,0.885863095238095,0.916666666666667,51,17
0.909090909090909,0.792005146335818,0.537065913345913,0.887554133227987,8,3,0.877425595238095,1,52,2
0.636363636363636,0.800986700253284,0.594289173789174,0.87864358282252,8,3,0.888184523809524,0.75,53,140
0.818181818181818,0.825323257368459,0.674183445617563,0.882049201587206,8,3,0.888630952380952,0.958333333333333,54,141
0.909090909090909,0.835504001918083,0.695955826210826,0.887877808204523,8,3,0.909047619047619,0.875,55,144
0.636363636363636,0.821332670464033,0.577736767676768,0.912629917918302,8,3,0.891904761904762,0.75,56,3
0.818181818181818,0.823116846061947,0.638366698872786,0.892397056770666,8,3,0.884270833333333,0.895833333333333,57,6
0.818181818181818,0.84134014264745,0.683772203478782,0.900097417487929,8,3,0.910684523809524,0.604166666666667,58,53
0.818181818181818,0.823079518784002,0.612400926480926,0.902147754408237,8,3,0.878303571428571,0.875,59,49
