Family	Family	Tribe	Genus	Subgenus	 species	Science.name	Full.name	Authority	Recorded.states	Status	Season	Host.Plant	Lecty
Andrenidae	Andreninae		Andrena	Cnemidandrena	 hirticincta	Andrena hirticincta	Andrena (Cnemidandrena) hirticincta	"Provancher, 1888"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Fall	"Euthamia Nutt ex. Cass., Solidago L., Symphyotrichum Nees"	poly
Andrenidae	Andreninae		Andrena	Micrandrena	 illinoiensis	Andrena illinoiensis	Andrena (Micrandrena) illinoiensis	"Robertson, 1891"	MD-NY-VA	Rare	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Gonandrena	 integra	Andrena integra	Andrena (Gonandrena) integra	"Smith, 1853"	CT-MA-ME-MD-NJ-NY-PA-VA-VT	Uncommon	Summer	Cornus (Swida) L.	oligo
Andrenidae	Andreninae		Andrena	Scrapteropsis	 kalmiae	Andrena kalmiae	Andrena (Scrapteropsis) kalmiae	"Atwood, 1934"	CT-MA-ME-NH	Uncommon	Spring	"Ericaceae, e.g. Kalmia L., Lyonia Nutt., Vaccinium L."	poly
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 krigiana	Andrena krigiana	Andrena (Callandrena s.l.) krigiana	"Robertson, 1901"	CT-MA-MD-NH-NJ-NY-PA-VA-WV	Uncommon	Spring	"Cichorieae, e.g. Krigia Schreb."	poly
Andrenidae	Andreninae		Andrena	Micrandrena	 lamelliterga	Andrena lamelliterga	Andrena (Micrandrena) lamelliterga	"Ribble, 1968"	MD-PA-VA	Rare	Spring	Phacelia Juss.	oligo
Andrenidae	Andreninae		Andrena	Andrena	 macoupinensis	Andrena macoupinensis	Andrena (Andrena) macoupinensis	"Robertson, 1900"	MD-PA-VA	Uncommon	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Trachandrena	 mariae	Andrena mariae	Andrena (Trachandrena) mariae	"Robertson, 1891"	MD-NH-NJ-RI-VA-WV	Uncommon	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Micrandrena	 melanochroa	Andrena melanochroa	Andrena (Micrandrena) melanochroa	"Cockerell, 1898"	CT-MA-MD-ME-NH-NJ-NY-VA-WV	Uncommon	Spring	"Rosaceae, e.g. Fragaria L."	poly
Andrenidae	Andreninae		Andrena	Parandrena	 nida	Andrena nida	Andrena (Parandrena) nida	"Mitchell, 1960"	MD-NH-NJ-NY-RI-VA-WV	Uncommon	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Micrandrena	 nigrae	Andrena nigrae	Andrena (Micrandrena) nigrae	"Robertson, 1905"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Uncommon	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Cnemidandrena	 nubecula	Andrena nubecula	Andrena (Cnemidandrena) nubecula	"Smith, 1853"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common-Uncommon	Fall	"Solidago L., Symphyotrichum Nees"	poly
Andrenidae	Andreninae		Andrena	Gonandrena	 perisimulata	Andrena perisimulata	Andrena (Gonandrena) perisimulata	"Viereck, 1917"	CT-MA-ME-NH-NY	Uncommon	Summer	Cornus (Swida) L.	oligo
Andrenidae	Andreninae		Andrena	Euandrena	 phaceliae	Andrena phaceliae	Andrena (Euandrena) phaceliae	"Mitchell, 1960"	MD-VA-WV	Rare	Spring	Phacelia Juss.	oligo
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 placata	Andrena placata	Andrena (Callandrena s.l.) placata	"Mitchell, 1960"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Fall	"Astereae, e.g. Solidago L., SymphyotrichumNees"	poly
Andrenidae	Andreninae		Andrena	Gonandrena	 platyparia	Andrena platyparia	Andrena (Gonandrena) platyparia	"Robertson, 1895"	CT-MA-MD-NH-NJ-NY-PA-VA	Uncommon	Summer	Cornus (Swida) L.	oligo
Andrenidae	Andreninae		Andrena	Euandrena	 polemonii	Andrena polemonii	Andrena (Euandrena) polemonii	"Robertson, 1891"	WV	Rare	Spring	Polemonium L.	oligo
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 rudbeckiae	Andrena rudbeckiae	Andrena (Callandrena s.l.) rudbeckiae	"Robertson, 1891"	DE-MD-NJ-NY-PA	Rare	Summer	"Ratibida Raf., Rudbeckia L."	poly
Andrenidae	Andreninae		Andrena	Micrandrena	 salictaria	Andrena salictaria	Andrena (Micrandrena) salictaria	"Robertson, 1905"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common-Rare	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Trachandrena	 sigmundi	Andrena sigmundi	Andrena (Trachandrena) sigmundi	"Cockerell, 1902"	CT-MA-ME-NH-RI-VT	Common	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 simplex	Andrena simplex	Andrena (Callandrena s.l.) simplex	"Smith, 1853"	CT-DE-MA-MD-NH-NJ-NY-PA-RI-VA-WV	Common	Fall	"Solidago L., Symphyotrichum Nees"	poly
Andrenidae	Andreninae		Andrena	Derandrena	 uvulariae*	Andrena uvulariae*	Andrena (Derandrena) uvulariae*	"Mitchell, 1960"	MA-MD-NH-NJ-NY-PA-VA-WV	Rare	Spring	Uvularia L.	oligo
