Family	Family	Tribe	Genus	Subgenus	 species	Science.name	Full.name	Authority	Recorded.states	Status	Season	Host.Plant	Lecty
Halictidae	Halictinae	Halictini	Lasioglossum	Hemihalictus	 lustrans	Lasioglossum lustrans	Lasioglossum (Hemihalictus) lustrans	"(Cockerell, 1897)"	DE-MD-VA	Rare	Summer	Pyrrhopappus DC.	oligo
Halictidae	Halictinae		Lasioglossum	Sphecodogastra	 oenotherae	Lasioglossum oenotherae	Lasioglossum (Sphecodogastra) oenotherae	"(Stevens, 1920)"	CT-MA-MD-NH-NJ-NY-PA-VA-WV	Uncommon	Summer	Oenothera L.	oligo
Halictidae	Halictinae		Lasioglossum	Hemihalictus	 pectinatum	Lasioglossum pectinatum	Lasioglossum (Hemihalictus) pectinatum	"(Robertson, 1890)"	CT-DE-MA-MD-NJ-NY-PA-VA-WV	Rare	Summer	Physalis L.	oligo
Halictidae	Nomiinae		Dieunomia	Dieunomia	 heteropoda	Dieunomia heteropoda	Dieunomia (Dieunomia) heteropoda	"(Say, 1824)"	MD-NJ-VA	Rare	Fall	"Bidens L., Helianthus L."	oligo
Halictidae	Nomiinae		Dieunomia	Epinomia	 nevadensis	Dieunomia nevadensis	Dieunomia (Epinomia) nevadensis	"(Cresson, 1874)"	MD	Rare	Summer	"Asteraceae, e.g. Astereae"	poly
Halictidae	Rophitinae		Dufourea		monardae	Dufoureamonardae	Dufourea monardae	"(Viereck, 1924)"	CT-MA-NJ-NY	Rare	Summer	Monarda L.	oligo
Halictidae	Rophitinae		Dufourea		novaeangliae	Dufoureanovaeangliae	Dufourea novaeangliae	"(Robertson, 1897)"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT	Common-Rare	Summer	Pontederia L.	oligo
Megachiliidae	Anthidiini		Dianthidium	Dianthidium	 simile	Dianthidium simile	Dianthidium (Dianthidium) simile	"(Cresson, 1864)"	CT-MA-ME-NJ-NY	Rare	Fall	"Asteraceae, e.g. Astereae"	poly
Megachiliidae	Anthidiini		Paranthidium	Paranthidium	 jugatorium	Paranthidium jugatorium	Paranthidium (Paranthidium) jugatorium	"(Say, 1824)"	MD-NJ-NY-VA-WV	Rare	Summer	Helianthus L.	oligo
Megachiliidae	Anthidiini		Trachusa	Heteranthidium	 dorsalis	Trachusa dorsalis	Trachusa (Heteranthidium) dorsalis	"(Lepeletier, 1841)"	NJ	Rare	Summer	Strophostyles Elliot	oligo
Megachiliidae	Megachilini		Megachile	Sayapis	 inimica	Megachile inimica	Megachile (Sayapis) inimica	"Cresson, 1872"	CT-DE-MA-MD-NJ-NY-PA-VA-WV	Uncommon	Summer	Asteraceae	poly
Megachiliidae			Megachile	Megachiloides	 integra	Megachile integra	Megachile (Megachiloides) integra	"Cresson, 1878"	MD-NJ	Rare	Summer	"Galactia P. Br., Strophostyles Elliot"	oligo
Megachiliidae			Megachile	Megachiloides	 oenotherae	Megachile oenotherae	Megachile (Megachiloides) oenotherae	"(Mitchell, 1924)"	NJ	Rare	Spring	Oenothera L.	oligo
Megachiliidae			Megachile	Argyropile	 parallela	Megachile parallela	Megachile (Argyropile) parallela	"Smith, 1853"	VA	Rare	Summer	Asteraceae	poly
Megachiliidae			Megachile	Sayapis	 pugnata	Megachile pugnata	Megachile (Sayapis) pugnata	"Say, 1837"	CT-DE-MA-MD-NH-NJ-NY-PA-VA-VT-WV	Uncommon	Summer	"Asteraceae, e.g. Helianthus L."	poly
Megachiliidae			Megachile	Melanosarus	 xylocopoides	Megachile xylocopoides	Megachile (Melanosarus) xylocopoides	"Smith, 1853"	DE-MD-NJ-VA	Uncommon	Summer	Asteraceae	poly
Megachiliidae	Osmiini		Hoplitis	Robertsonella	 simplex	Hoplitis simplex	Hoplitis (Robertsonella) simplex	"(Cresson, 1864)"	DE-MD-NJ-VA-WV	Rare	Spring	"Nemophila Nutt., Phacelia Juss."	oligo
Megachiliidae	Osmiini		Osmia	Helicosmia	 chalybea	Osmia chalybea	Osmia (Helicosmia) chalybea	"Smith, 1853"	DE-MD-NJ-NY-VA-WV	Rare	Summer	Cirsium Mill	oligo
Megachiliidae			Osmia	Melanosmia	 distincta	Osmia distincta	Osmia (Melanosmia) distincta	"Cresson, 1864"	CT-MA-MD-ME-NH-NJ-NY-PA-VA-VT-WV	Uncommon	Spring	Penstemon Schmidel	oligo
Megachiliidae			Osmia	Helicosmia	 texana	Osmia texana	Osmia (Helicosmia) texana	"Cresson, 1872"	MD-VA-WV	Rare	Summer	Cirsium Mill	oligo
Megachiliidae			Osmia	Melanosmia	 virga	Osmia virga	Osmia (Melanosmia) virga	"Sandhouse, 1939"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-WV	Uncommon	Spring	Vaccinium L.	oligo
Melittidae	Melittinae	Macropidini	Macropis	Macropis	 ciliata	Macropis ciliata	Macropis (Macropis) ciliata	"Patton, 1880"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA	Uncommon-Rare	Summer	Lysimachia L.	oligo
Melittidae	Melittinae	Macropidini	Macropis	Macropis	 nuda	Macropis nuda	Macropis (Macropis) nuda	"(Provancher, 1882)"	CT-MA-ME-NH-NJ-NY-PA-RI-VT-WV	Uncommon-Rare	Summer	Lysimachia L.	oligo
Melittidae	Melittinae	Macropidini	Macropis	Macropis	 patellata	Macropis patellata	Macropis (Macropis) patellata	"Patton, 1880"	CT-MA-MD-NJ-NY-PA-RI-VA-VT	Rare	Summer	Lysimachia L.	oligo
Melittidae	Melittinae	Macropidini	Macropis	Macropis	 steironematis	Macropis steironematis	Macropis (Macropis) steironematis	"Robertson, 1891"	VA	Rare	Summer	Lysimachia L.	oligo
Melittidae	Melittinae	Melittini	Melitta	Cilissa	 americana	Melitta americana	Melitta (Cilissa) americana	"(Smith, 1853)"	CT-MA-NJ-NY	Uncommon-Rare	Summer	Vaccinium L.	oligo
Melittidae	Melittinae	Melittini	Melitta	Cilissa	 eickworti	Melitta eickworti	Melitta (Cilissa) eickworti	"Snelling & Stage, 1995"	MD-NJ-NY-WV	Rare	Spring	Vaccinium (Polycodium) L.	oligo
Melittidae	Melittinae	Melittini	Melitta	Cilissa	 melittoides	Melitta melittoides	Melitta (Cilissa) melittoides	"(Viereck, 1909)"	CT-MA-MD-NH-NJ-PA-VA	Rare	Summer	Lyonia Nutt.	oligo
