internalTaxonId,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,taxonomicNotes
19199341,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,hohmanni,,,,"Dathe, 1993",The species was formerly confused with <em>H. ater</em> and <em>H. canariensis</em> (Dathe 1993).
19199207,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,hyperpunctatus,,,,"(Strand, 1909)","This species belongs to a highly diverse taxonomic group, which is not yet fully understood."
19199239,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,ibericus,,,,"Dathe, 2000",The taxon is a member of the <em>Hylaeus nivalis</em> group (Dathe 2000).
19199635,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,koenigsmanni,,,,"Dathe, 1981",The taxon is a member of the <em>Hylaeus nivalis</em> group (Dathe 2000).
19199088,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,maderensis,,,,"(Cockerell, 1921)",
19199942,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,milossus,,,,"(Warncke, 1981)","This species belongs to a highly diverse taxonomic group, which is not yet fully understood. It is probably a local variant only and is closely related to <em>Hylaeus hyalinatus.</em>"
19198899,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,nivaliformis,,,,"Dathe, 1977",The taxon is a member of the <em>H. nivalis</em> group (Dathe 2000).
19198424,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,nivalis,,,,"(Morawitz, 1867)","The taxon is a member of the&#160;<em>Hylaeus</em><span style=""font-style: italic;"">&#160;nivalis </span>group (Dathe 1977, 2000)."
19199894,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,penalaris,,,,"Dathe, 1979","The taxonomic situation of the species of the <span style=""font-style: italic;"">Hylaeus conformis</span> group was formerly unclear (Dathe 2006)."
19198613,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,pictus,,,,"(Smith, 1853)","The taxonomy of the <span style=""font-style: italic;"">Hylaeus gibbus </span>group was recently revisited (Straka and Bogusch 2011). A series of problems&#160;occurred&#160;and the first suggestions to solve them were given."
19199276,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,pyrenaicus,,,,"Dathe, 2000",The taxon is a member of the&#160;<em>Hylaeus</em><em>&#160;nivalis</em> group (Dathe 2000).
19199313,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Hylaeus,teruelus,,,,"(Warncke, 1981)","The taxon was originally described as a local subspecies, but this does not fit to its distribution pattern."
20426231,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Panurginus,tyrolensis,,,,"Richards, 1932",
21138354,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Chelostoma,siciliae,,,,"Müller, 2012",
21138819,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,peniculifera,,,,"Müller, 2012",
21139076,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,hilbera,,,,"Müller, 2012",
21139203,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,lithodorae,,,,"Müller, 2012",
21139241,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,manuelae,,,,"Müller, 2012",Only the males of this species have been observed and described. Further research needs to conducted to describe the females of this species.
19199171,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Dioxys,atlantica,,,,"Saunders, 1904","Warncke (1977) considered&#160;<em>Dioxys atlantica</em> as a subspecies of <em>Dioxys cincta</em> (Jurine, 1807)."
19198645,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Dioxys,lanzarotensis,,,,"Tkalcu, 2001","The species was described from a single specimen, a male, collected in 1987 (Tkalců 2001)."
19198839,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Pseudoanthidium,canariense,,,,"(Mavromoustakis, 1954)","<p><em>Pseudoanthidium canariense </em>is a species belonging to the subgenus <em>Pseudoanthidium </em>Friese, 1898<strong>&#160;</strong>(Warncke 1980, Michener 2007, Ascher and Pickering 2012).</p>  <p><br/></p><p>Warncke (1980) stated that&#160;<em>Pseudoanthidium canariense </em>should be&#160;the subspecies&#160;<em>Anthidium lituratum canariense</em>.</p>"
19198944,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Stelis,ortizi,,,,"Schwarz & Gusenleitner, 2010",
19198643,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Stelis,franconica,,,,"Blüthgen, 1930","This species was described as a subspecies of <em>S. phaeoptera </em>(Kirby, 1802). Warncke (1992) still thought it was a synonym of the former.&#160;It belongs to the nominate subgenus."
19198593,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Ammobates,dusmeti,,,,"Popov, 1951","The taxonomic status of&#160;<em>Ammobates handlirschi</em>&#160;(Friese, 1895), a&#160;close&#160;north African relative to&#160;<em>A. dusmeti,</em>&#160;needs to be confirmed by more comprehensive study, especially by methods of population biology based on DNA."
19198736,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Ammobatoides,okalii,,,,"Kocourek, 1990",The taxonomic status of <em>Ammobatoides okalii</em> is uncertain (J. Straka pers. obs. 2013). This species was described from a single specimen and it was never found again. This problematic species needs to be studied in the future and its validity resolved.
19198313,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,alpinus,,,,"Friese, 1893",
19198575,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,compar,,,,"Alfken, 1937",
19199398,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,cruciger,,,,"(Panzer, 1799)",
19199357,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,fallax,,,,"Morawitz, 1872",
19198837,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,fasciatus,,,,"Friese, 1895",
19199335,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,flavociliatus,,,,"Friese, 1899",
19199127,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,productulus,,,,"Bischoff, 1930",
19199324,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,siculus,,,,"Soika, 1944",
19198984,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Epeolus,sigillatus,,,,"Alfken, 1930",
19199673,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Eucera,codinai,,,,"Dusmet y Alonso, 1926","Once treated as a subspecies of <em>Eucera vidua</em>, which lives in the north-west Mediterranean part of Africa (J. Ortiz pers. comm. 2013)."
19199540,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Eucera,gracilipes,,,,"Pérez, 1895",
19198856,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Eucera,quilisi,,,,"(Dusmet y Alonso, 1926)",
19198594,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Tetraloniella,hohmanni,,,,"(Tkalců, 1993)",
19199329,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Tetraloniella,lanzarotensis,,,,"(Tkalců, 1993)",
19199899,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Tetraloniella,lyncea,,,,"(Mocsáry, 1879)",
19198553,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,HALICTIDAE,Sphecodes,atlanticus,,,,"Warncke, 1992","<span lang=""EN-GB"">The <em>Sphecodes</em> species from the Canary Islands are very poorly known and their taxonomy is likely to be changed in future studies (P. Bogusch pers. comm. 2013)."
19199871,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,HALICTIDAE,Sphecodes,pseudocrassus,,,,"Blüthgen, 1924",
19199003,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Chelostoma,grande,,,,"(Nylander, 1852)",
19199770,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Chelostoma,hellenicum,,,,"(Benoist, 1938)",
19198822,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Chelostoma,laticaudum,,,,"(Benoist, 1938)",
19199618,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,albatera,,,,"(Warncke, 1991)","Only females have been discovered and described, further surveys are required to catch the male of the species."
19199179,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,cretaea,,,,"(Tkalců, 1992)",
19198606,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,fabrei,,,,"van der Zanden, 1987",
19199563,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,graeca,,,,"(Tkalců, 2000)",
