"obs_full","gs","genus.x","species.x","verbiage","long_key","exclude","verb_length","has_nonNative_ssp","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus.y","species.y","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","verbatim_name","matchNote","acceptedUsageKey","verbatim_kingdom"
"Isoetes engelmannii A. Braun, Engelmann’s Quillwort, •  S3/G4  (McAvoy 5594 DOV) ","Isoetes engelmannii","Isoetes","engelmannii"," A. Braun, Engelmann’s Quillwort, •  S3/G4  (McAvoy 5594 DOV) ","Isoetes engelmannii A. Braun, ",FALSE,62,FALSE,2688326,"Isoetes engelmannii A.Braun","Isoetes engelmannii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Isoetales","Isoetaceae","Isoetes","Isoetes engelmannii",6,7707728,245,951,3074,2688248,2688326,FALSE,"Lycopodiopsida","Isoetes engelmannii","unambiguous",NA,NA
"Isoetes riparia Engelm.flex A. Braun, Riverbank Quillwort,   SU/G5? (McAvoy 1171 DOV)  [Isoetes saccharata Engelm.] ","Isoetes riparia","Isoetes","riparia"," Engelm.flex A. Braun, Riverbank Quillwort,   SU/G5? (McAvoy 1171 DOV)  [Isoetes saccharata Engelm.] ","Isoetes riparia Engelm.flex A.",FALSE,102,FALSE,2688257,"Isoetes riparia Engelm. ex A.Braun","Isoetes riparia","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Isoetales","Isoetaceae","Isoetes","Isoetes riparia",6,7707728,245,951,3074,2688248,2688257,FALSE,"Lycopodiopsida","Isoetes riparia","unambiguous",NA,NA
"Isoetes tuckermanii A. Braun, Tuckerman’s Quillwort—see  Excluded Flora section  LYCOPODIACEAE (Clubmoss Family) ","Isoetes tuckermanii","Isoetes","tuckermanii"," A. Braun, Tuckerman’s Quillwort—see  Excluded Flora section  LYCOPODIACEAE (Clubmoss Family) ","Isoetes tuckermanii A. Braun, ",TRUE,94,FALSE,4926447,"Isoetes tuckermanii A.Braun ex Engelm.","Isoetes tuckermanii","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Isoetales","Isoetaceae","Isoetes","Isoetes tuckermanii",6,7707728,245,951,3074,2688248,4926447,FALSE,"Lycopodiopsida","Isoetes tuckermanii","unambiguous",NA,NA
"Dendrolycopodium dendroideum (Michx.) A. Haines, Tree  Clubmoss (Cusick 25724 NCU)  [Lycopodium dendroideum Michx.; L. obscurum L. var.  dendroideum (Michx.) Eaton] ","Dendrolycopodium dendroideum","Dendrolycopodium","dendroideum"," (Michx.) A. Haines, Tree  Clubmoss (Cusick 25724 NCU)  [Lycopodium dendroideum Michx.; L. obscurum L. var.  dendroideum (Michx.) Eaton] ","Dendrolycopodium dendroideum (",FALSE,137,FALSE,3991500,"Dendrolycopodium dendroideum (Michx.) A.Haines","Dendrolycopodium dendroideum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Dendrolycopodium","Dendrolycopodium dendroideum",6,7707728,245,421,6725,9760652,3991500,FALSE,"Lycopodiopsida","Dendrolycopodium dendroideum","unambiguous",NA,NA
"Dendrolycopodium hickeyi (W. H. Wagner, Beitel, & R. C.  Moran) A. Haines, Hickey’s Tree Clubmoss (Redman 6330  BALT)  [Lycopodium hickeyi W. H. Wagner, Beitel, & R. C. Moran] ","Dendrolycopodium hickeyi","Dendrolycopodium","hickeyi"," (W. H. Wagner, Beitel, & R. C.  Moran) A. Haines, Hickey’s Tree Clubmoss (Redman 6330  BALT)  [Lycopodium hickeyi W. H. Wagner, Beitel, & R. C. Moran] ","Dendrolycopodium hickeyi (W. H",FALSE,152,FALSE,3991491,"Dendrolycopodium hickeyi (W.H.Wagner, Beitel & R.C.Moran) A.Haines","Dendrolycopodium hickeyi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Dendrolycopodium","Dendrolycopodium hickeyi",6,7707728,245,421,6725,9760652,3991491,FALSE,"Lycopodiopsida","Dendrolycopodium hickeyi","unambiguous",NA,NA
"Dendrolycopodium obscurum (L.) A. Haines, Flat-branched  Tree Clubmoss (Dillard s.n. DOV)  [Lycopodium obscurum L.] ","Dendrolycopodium obscurum","Dendrolycopodium","obscurum"," (L.) A. Haines, Flat-branched  Tree Clubmoss (Dillard s.n. DOV)  [Lycopodium obscurum L.] ","Dendrolycopodium obscurum (L.)",FALSE,91,FALSE,3991468,"Dendrolycopodium obscurum (L.) A.Haines","Dendrolycopodium obscurum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Dendrolycopodium","Dendrolycopodium obscurum",6,7707728,245,421,6725,9760652,3991468,FALSE,"Lycopodiopsida","Dendrolycopodium obscurum","unambiguous",NA,NA
"Diphasiastrum digitatum (Dill.flex A. Braun) Holub, Southern  Ground Cedar (McAvoy 3451 DOV)  [Lycopodium complanatum L. var. flabelliforme Fernald;  L. digitatum Dill.flex A. Braun; L. flabelliforme (Fernald)  Blanch.] ","Diphasiastrum digitatum","Diphasiastrum","digitatum"," (Dill.flex A. Braun) Holub, Southern  Ground Cedar (McAvoy 3451 DOV)  [Lycopodium complanatum L. var. flabelliforme Fernald;  L. digitatum Dill.flex A. Braun; L. flabelliforme (Fernald)  Blanch.] ","Diphasiastrum digitatum (Dill.",FALSE,197,FALSE,2688379,"Diphasiastrum digitatum (Dill. ex A.Braun) Holub","Diphasiastrum digitatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum digitatum",6,7707728,245,421,6725,6385542,2688379,FALSE,"Lycopodiopsida","Diphasiastrum digitatum","unambiguous",NA,NA
"Diphasiastrum tristachyum (Pursh) Holub, Blue Ground Cedar,   S3/G5 (McAvoy 4454 DOV)  [Lycopodium tristachyum Pursh] ","Diphasiastrum tristachyum","Diphasiastrum","tristachyum"," (Pursh) Holub, Blue Ground Cedar,   S3/G5 (McAvoy 4454 DOV)  [Lycopodium tristachyum Pursh] ","Diphasiastrum tristachyum (Pur",FALSE,94,FALSE,2688412,"Diphasiastrum tristachyum (Pursh) Holub","Diphasiastrum tristachyum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum tristachyum",6,7707728,245,421,6725,6385542,2688412,FALSE,"Lycopodiopsida","Diphasiastrum tristachyum","unambiguous",NA,NA
"Huperzia lucidula (Michx.) Trevis., Shining Firmoss (Tatnall  4049 DOV)  [Lycopodium lucidulum Michx.] ","Huperzia lucidula","Huperzia","lucidula"," (Michx.) Trevis., Shining Firmoss (Tatnall  4049 DOV)  [Lycopodium lucidulum Michx.] ","Huperzia lucidula (Michx.) Tre",FALSE,86,FALSE,2688524,"Huperzia lucidula (Michx.) Trevis.","Huperzia lucidula","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia lucidula",6,7707728,245,421,6725,2688450,2688524,FALSE,"Lycopodiopsida","Huperzia lucidula","unambiguous",NA,NA
"Huperzia porophila (F. E. Lloyd & Underw.) Holub, Rock  Firmoss,  SX/G4 (Boone s.n. TAWES)  [Lycopodium porophilum F. E. Lloyd & Underw.] ","Huperzia porophila","Huperzia","porophila"," (F. E. Lloyd & Underw.) Holub, Rock  Firmoss,  SX/G4 (Boone s.n. TAWES)  [Lycopodium porophilum F. E. Lloyd & Underw.] ","Huperzia porophila (F. E. Lloy",FALSE,121,FALSE,2688531,"Huperzia porophila (F.E.Lloyd & Underw.) Holub","Huperzia porophila","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia porophila",6,7707728,245,421,6725,2688450,2688531,FALSE,"Lycopodiopsida","Huperzia porophila","unambiguous",NA,NA
"Lycopodiella alopecuroides (L.) Cranfill, Foxtail Bog Clubmoss  (Naczi 11548 DOV)  [Lycopodium alopecuroides L.] ","Lycopodiella alopecuroides","Lycopodiella","alopecuroides"," (L.) Cranfill, Foxtail Bog Clubmoss  (Naczi 11548 DOV)  [Lycopodium alopecuroides L.] ","Lycopodiella alopecuroides (L.",FALSE,87,FALSE,2688363,"Lycopodiella alopecuroides (L.) Cranfill","Lycopodiella alopecuroides","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Lycopodiella","Lycopodiella alopecuroides",6,7707728,245,421,6725,2688338,2688363,FALSE,"Lycopodiopsida","Lycopodiella alopecuroides","unambiguous",NA,NA
"Lycopodiella appressa (Chapm.) Cranfill, Southern Bog Club- moss (Ebert & Holt 294EH DOV)  [Lycopodium adpressum (Chapm.) F. E. Lloyd & Underw.] ","Lycopodiella appressa","Lycopodiella","appressa"," (Chapm.) Cranfill, Southern Bog Club- moss (Ebert & Holt 294EH DOV)  [Lycopodium adpressum (Chapm.) F. E. Lloyd & Underw.] ","Lycopodiella appressa (Chapm.)",FALSE,124,FALSE,2688350,"Lycopodiella appressa (Chapm.) Cranfill","Lycopodiella appressa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Lycopodiella","Lycopodiella appressa",6,7707728,245,421,6725,2688338,2688350,FALSE,"Lycopodiopsida","Lycopodiella appressa","unambiguous",NA,NA
"Lycopodiella inundata (L.) Holub, Bog Clubmoss, •  S2/G5  (Thompson s.n. TAWES) ","Lycopodiella inundata","Lycopodiella","inundata"," (L.) Holub, Bog Clubmoss, •  S2/G5  (Thompson s.n. TAWES) ","Lycopodiella inundata (L.) Hol",FALSE,59,FALSE,2688345,"Lycopodiella inundata (L.) Holub","Lycopodiella inundata","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Lycopodiella","Lycopodiella inundata",6,7707728,245,421,6725,2688338,2688345,FALSE,"Lycopodiopsida","Lycopodiella inundata","unambiguous",NA,NA
"Lycopodium clavatum L., Running Pine (Knapp 988 DOV) ","Lycopodium clavatum","Lycopodium","clavatum"," L., Running Pine (Knapp 988 DOV) ","Lycopodium clavatum L., Runnin",FALSE,34,FALSE,2688393,"Lycopodium clavatum L.","Lycopodium clavatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium clavatum",6,7707728,245,421,6725,2688247,2688393,FALSE,"Lycopodiopsida","Lycopodium clavatum","unambiguous",NA,NA
"Pseudolycopodiella caroliniana (L.) Holub, Carolina Clubmoss,   S1/G5 (Steury 990911.7 US)  [Lycopodium carolinianum L.] ","Pseudolycopodiella caroliniana","Pseudolycopodiella","caroliniana"," (L.) Holub, Carolina Clubmoss,   S1/G5 (Steury 990911.7 US)  [Lycopodium carolinianum L.] ","Pseudolycopodiella caroliniana",FALSE,92,FALSE,3992339,"Pseudolycopodiella caroliniana (L.) Holub","Pseudolycopodiella caroliniana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Pseudolycopodiella","Pseudolycopodiella caroliniana",6,7707728,245,421,6725,6385523,3992339,FALSE,"Lycopodiopsida","Pseudolycopodiella caroliniana","unambiguous",NA,NA
"Spinulum annotinum (L.) A. Haines, Stiff Clubmoss (Knapp  989 DOV)  [Lycopodium annotinum L.]  SELAGINELLACEAE (Spikemoss Family) ","Spinulum annotinum","Spinulum","annotinum"," (L.) A. Haines, Stiff Clubmoss (Knapp  989 DOV)  [Lycopodium annotinum L.]  SELAGINELLACEAE (Spikemoss Family) ","Spinulum annotinum (L.) A. Hai",FALSE,112,FALSE,3992189,"Spinulum annotinum (L.) A.Haines","Spinulum annotinum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Spinulum","Spinulum annotinum",6,7707728,245,421,6725,9792913,3992189,FALSE,"Lycopodiopsida","Spinulum annotinum","unambiguous",NA,NA
"Selaginella apoda (L.) Fernald, Meadow Spikemoss (Otis s.n. DOV)  [Lycopodioides apoda (L.) Kuntz] ","Selaginella apoda","Selaginella","apoda"," (L.) Fernald, Meadow Spikemoss (Otis s.n. DOV)  [Lycopodioides apoda (L.) Kuntz] ","Selaginella apoda (L.) Fernald",FALSE,82,FALSE,2688214,"Selaginella apoda (L.) Spring","Selaginella apoda","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Selaginellales","Selaginellaceae","Selaginella","Selaginella apoda",6,7707728,245,420,6724,2688177,2688214,FALSE,"Lycopodiopsida","Selaginella apoda","unambiguous",NA,NA
"Selaginella rupestris (L.) Spring, Ledge Spikemoss (Schultz s.n.  DOV)  [Bryodesma rupestre (L.) Soják]  FERNS  ASPLENIACEAE (Spleenwort Family) ","Selaginella rupestris","Selaginella","rupestris"," (L.) Spring, Ledge Spikemoss (Schultz s.n.  DOV)  [Bryodesma rupestre (L.) Soják]  FERNS  ASPLENIACEAE (Spleenwort Family) ","Selaginella rupestris (L.) Spr",FALSE,124,FALSE,2688219,"Selaginella rupestris (L.) Spring","Selaginella rupestris","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Selaginellales","Selaginellaceae","Selaginella","Selaginella rupestris",6,7707728,245,420,6724,2688177,2688219,FALSE,"Lycopodiopsida","Selaginella rupestris","unambiguous",NA,NA
"Asplenium bradleyi D. C. Eaton, Bradley’s Spleenwort, •  S1/G4  (Maxon 425 US) ","Asplenium bradleyi","Asplenium","bradleyi"," D. C. Eaton, Bradley’s Spleenwort, •  S1/G4  (Maxon 425 US) ","Asplenium bradleyi D. C. Eaton",FALSE,61,FALSE,2650685,"Asplenium bradleyi D.C.Eaton","Asplenium bradleyi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium bradleyi",6,7707728,7228684,392,6625,2650583,2650685,FALSE,"Polypodiopsida","Asplenium bradleyi","unambiguous",NA,NA
"Asplenium montanum Willd., Mountain Spleenwort (Lea 3286  DOV) ","Asplenium montanum","Asplenium","montanum"," Willd., Mountain Spleenwort (Lea 3286  DOV) ","Asplenium montanum Willd., Mou",FALSE,45,FALSE,2650651,"Asplenium montanum Willd.","Asplenium montanum","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium montanum",6,7707728,7228684,392,6625,2650583,2650651,FALSE,"Polypodiopsida","Asplenium montanum","unambiguous",NA,NA
"Asplenium pinnatifidum Nutt., Lobed Spleenwort, •  S1/G4  (Riefner 80396 US) ","Asplenium pinnatifidum","Asplenium","pinnatifidum"," Nutt., Lobed Spleenwort, •  S1/G4  (Riefner 80396 US) ","Asplenium pinnatifidum Nutt., ",FALSE,55,FALSE,2650621,"Asplenium pinnatifidum Nutt.","Asplenium pinnatifidum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium pinnatifidum",6,7707728,7228684,392,6625,2650583,2650621,FALSE,"Polypodiopsida","Asplenium pinnatifidum","unambiguous",NA,NA
"Asplenium platyneuron (L.) Britton, Sterns, & Poggenb., Ebony  Spleenwort (Knapp 2836 DOV)  [Asplenium platyneuron var. bacculum-rubrum (Featherm.)  Fernald] ","Asplenium platyneuron","Asplenium","platyneuron"," (L.) Britton, Sterns, & Poggenb., Ebony  Spleenwort (Knapp 2836 DOV)  [Asplenium platyneuron var. bacculum-rubrum (Featherm.)  Fernald] ","Asplenium platyneuron (L.) Bri",FALSE,137,FALSE,2650714,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.","Asplenium platyneuron","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium platyneuron",6,7707728,7228684,392,6625,2650583,2650714,FALSE,"Polypodiopsida","Asplenium platyneuron","unambiguous",NA,NA
"Asplenium resiliens Kunze, Blackstem Spleenwort, •  S1/G5  (Riefner 81-1 MARY)  [Asplenium parvulum M. Martens & Galeotti] ","Asplenium resiliens","Asplenium","resiliens"," Kunze, Blackstem Spleenwort, •  S1/G5  (Riefner 81-1 MARY)  [Asplenium parvulum M. Martens & Galeotti] ","Asplenium resiliens Kunze, Bla",FALSE,104,FALSE,2650631,"Asplenium resiliens Kunze","Asplenium resiliens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium resiliens",6,7707728,7228684,392,6625,2650583,2650631,FALSE,"Polypodiopsida","Asplenium resiliens","unambiguous",NA,NA
"Asplenium rhizophyllum L., Walking Fern Spleenwort (Chapin  s.n. US)  [Camptosorus rhizophyllus (L.) Link]  6• SMITHSONIAN CONTRIBUTIONS TO BOTANY ","Asplenium rhizophyllum","Asplenium","rhizophyllum"," L., Walking Fern Spleenwort (Chapin  s.n. US)  [Camptosorus rhizophyllus (L.) Link]  6• SMITHSONIAN CONTRIBUTIONS TO BOTANY ","Asplenium rhizophyllum L., Wal",FALSE,125,FALSE,2650633,"Asplenium rhizophyllum L.","Asplenium rhizophyllum","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium rhizophyllum",6,7707728,7228684,392,6625,2650583,2650633,FALSE,"Polypodiopsida","Asplenium rhizophyllum","unambiguous",NA,NA
"Asplenium ruta-muraria L., Wallrue Spleenwort, •  S3/G5  (Riefner 81-78 MARY)  [Asplenium cryptolepis Fernald; A. ruta-muraria var. cryptolepis  (Fernald) Wherry] ","Asplenium ruta-muraria","Asplenium","ruta-muraria"," L., Wallrue Spleenwort, •  S3/G5  (Riefner 81-78 MARY)  [Asplenium cryptolepis Fernald; A. ruta-muraria var. cryptolepis  (Fernald) Wherry] ","Asplenium ruta-muraria L., Wal",FALSE,141,FALSE,2650625,"Asplenium ruta-muraria L.","Asplenium ruta-muraria","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium ruta-muraria",6,7707728,7228684,392,6625,2650583,2650625,FALSE,"Polypodiopsida","Asplenium ruta-muraria","unambiguous",NA,NA
"Asplenium scolopendrium L. var. americanum (Fernald) Kartesz  & Gandhi, American Hart’s Tongue Fern, † (Knight 10  MARY)  [Phyllitis scolopendrium (L.) Newman var. americana  Fernald] ","Asplenium scolopendrium","Asplenium","scolopendrium"," L. var. americanum (Fernald) Kartesz  & Gandhi, American Hart’s Tongue Fern, † (Knight 10  MARY)  [Phyllitis scolopendrium (L.) Newman var. americana  Fernald] ","Asplenium scolopendrium L. var",TRUE,161,FALSE,2650669,"Asplenium scolopendrium L.","Asplenium scolopendrium","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium scolopendrium",6,7707728,7228684,392,6625,2650583,2650669,FALSE,"Polypodiopsida","Asplenium scolopendrium","unambiguous",NA,NA
"Asplenium trichomanes L. ssp. trichomanes, Maidenhair Spleen- wort (Knapp & Frye 1385 DOV)  ATHYRIACEAE (Lady Fern Family) ","Asplenium trichomanes","Asplenium","trichomanes"," L. ssp. trichomanes, Maidenhair Spleen- wort (Knapp & Frye 1385 DOV)  ATHYRIACEAE (Lady Fern Family) ","Asplenium trichomanes L. ssp. ",FALSE,102,FALSE,8108066,"Asplenium trichomanes L.","Asplenium trichomanes","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium trichomanes",6,7707728,7228684,392,6625,2650583,8108066,FALSE,"Polypodiopsida","Asplenium trichomanes","unambiguous",NA,NA
"Athyrium angustum (Willd.) C. Presl, Lady Fern (McAvoy 6023  DOV)  [Athyrium filix-femina (L.) Roth ssp. angustum (Willd.)  R. T. Clausen; A. filix-femina var. angustum (Willd.)  G. Lawson; A. filix-femina var. michauxii (Spreng.) Farw.] ","Athyrium angustum","Athyrium","angustum"," (Willd.) C. Presl, Lady Fern (McAvoy 6023  DOV)  [Athyrium filix-femina (L.) Roth ssp. angustum (Willd.)  R. T. Clausen; A. filix-femina var. angustum (Willd.)  G. Lawson; A. filix-femina var. michauxii (Spreng.) Farw.] ","Athyrium angustum (Willd.) C. ",FALSE,221,FALSE,6388270,"Athyrium angustum (Willd.) C.Presl","Athyrium angustum","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Polypodiales","Athyriaceae","Athyrium","Athyrium asplenioides",6,7707728,7228684,392,4922264,2650888,7422009,TRUE,"Polypodiopsida","Athyrium angustum","unambiguous",5644779,NA
"Athyrium asplenioides (Michx.) Desv., Southern Lady Fern  (McAvoy 6059 DOV)  [Asplenium filix-femina (L.) Bernh. ssp. asplenioides (Desv.)  Hultén; A. filix-femina var. asplenioides Farw.] ","Athyrium asplenioides","Athyrium","asplenioides"," (Michx.) Desv., Southern Lady Fern  (McAvoy 6059 DOV)  [Asplenium filix-femina (L.) Bernh. ssp. asplenioides (Desv.)  Hultén; A. filix-femina var. asplenioides Farw.] ","Athyrium asplenioides (Michx.)",FALSE,168,FALSE,7422009,"Athyrium asplenioides (Michx.) Desv.","Athyrium asplenioides","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Athyriaceae","Athyrium","Athyrium asplenioides",6,7707728,7228684,392,4922264,2650888,7422009,FALSE,"Polypodiopsida","Athyrium asplenioides","unambiguous",NA,NA
"Deparia acrostichoides (Sw.) M. Kato, Silver False Spleenwort  (Earle 2489 PH)  [Asplenium acrostichoides Sw.; Athyrium thelypterioides  (Michx.) Desv.; Diplazium acrostichoides (Sw.) Butters]  BLECHNACEAE (Chain Fern Family) ","Deparia acrostichoides","Deparia","acrostichoides"," (Sw.) M. Kato, Silver False Spleenwort  (Earle 2489 PH)  [Asplenium acrostichoides Sw.; Athyrium thelypterioides  (Michx.) Desv.; Diplazium acrostichoides (Sw.) Butters]  BLECHNACEAE (Chain Fern Family) ","Deparia acrostichoides (Sw.) M",FALSE,204,FALSE,2650986,"Deparia acrostichoides (Sw.) M.Kato","Deparia acrostichoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Athyriaceae","Deparia","Deparia acrostichoides",6,7707728,7228684,392,4922264,2650977,2650986,FALSE,"Polypodiopsida","Deparia acrostichoides","unambiguous",NA,NA
"Anchistea virginica (L.) K. Presl, Virginia Chain Fern (Tatnall  4610 DOV)  [Woodwardia virginica (L.) Sm.] ","Anchistea virginica","Anchistea","virginica"," (L.) K. Presl, Virginia Chain Fern (Tatnall  4610 DOV)  [Woodwardia virginica (L.) Sm.] ","Anchistea virginica (L.) K. Pr",FALSE,89,FALSE,8057727,"Anchistea virginica (L.) C.Presl","Anchistea virginica","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Blechnaceae","Anchistea","Anchistea virginica",6,7707728,7228684,392,2374,9316678,8057727,FALSE,"Polypodiopsida","Anchistea virginica","unambiguous",NA,NA
"Lorinseria areolata (L.) K. Presl, Netted Chain Fern (Tatnall  4566 DOV)  [Woodwardia areolata (L.) T. Moore]  CYSTOPTERIDACEAE (Bladder Fern Family) ","Lorinseria areolata","Lorinseria","areolata"," (L.) K. Presl, Netted Chain Fern (Tatnall  4566 DOV)  [Woodwardia areolata (L.) T. Moore]  CYSTOPTERIDACEAE (Bladder Fern Family) ","Lorinseria areolata (L.) K. Pr",FALSE,131,FALSE,2651516,"Lorinseria areolata (L.) C.Presl","Lorinseria areolata","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Polypodiales","Blechnaceae","Lorinseria","Lorinseria areolata",6,7707728,7228684,392,2374,7296899,2651516,FALSE,"Polypodiopsida","Lorinseria areolata","unambiguous",NA,NA
"Cystopteris bulbifera (L.) Bernh., Bulblet Fern, •  S3/G5 (Riefner  81–47 MARY) ","Cystopteris bulbifera","Cystopteris","bulbifera"," (L.) Bernh., Bulblet Fern, •  S3/G5 (Riefner  81–47 MARY) ","Cystopteris bulbifera (L.) Ber",FALSE,59,FALSE,2650799,"Cystopteris bulbifera (L.) Bernh.","Cystopteris bulbifera","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Polypodiales","Cystopteridaceae","Cystopteris","Cystopteris bulbifera",6,7707728,7228684,392,4021011,2650798,2650799,FALSE,"Polypodiopsida","Cystopteris bulbifera","unambiguous",NA,NA
"Cystopteris protrusa (Weath.) Blasdell, Lowland Brittle Fern  (Steury 990521 US)  [Cystopteris fragilis (L.) Bernh. var. protrusa Weath.] ","Cystopteris protrusa","Cystopteris","protrusa"," (Weath.) Blasdell, Lowland Brittle Fern  (Steury 990521 US)  [Cystopteris fragilis (L.) Bernh. var. protrusa Weath.] ","Cystopteris protrusa (Weath.) ",FALSE,118,FALSE,2650810,"Cystopteris protrusa (Weath.) Blasdell","Cystopteris protrusa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Cystopteridaceae","Cystopteris","Cystopteris protrusa",6,7707728,7228684,392,4021011,2650798,2650810,FALSE,"Polypodiopsida","Cystopteris protrusa","unambiguous",NA,NA
"Cystopteris tennesseensis Shaver, Tennessee Bladder Fern,   S1/G5 (Redman 4494 US) ","Cystopteris tennesseensis","Cystopteris","tennesseensis"," Shaver, Tennessee Bladder Fern,   S1/G5 (Redman 4494 US) ","Cystopteris tennesseensis Shav",FALSE,59,FALSE,2650801,"Cystopteris tennesseensis Shaver","Cystopteris tennesseensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Cystopteridaceae","Cystopteris","Cystopteris tennesseensis",6,7707728,7228684,392,4021011,2650798,2650801,FALSE,"Polypodiopsida","Cystopteris tennesseensis","unambiguous",NA,NA
"Cystopteris tenuis (Michx.) Desv., Upland Brittle Bladder Fern  (Wagner 2001 US) ","Cystopteris tenuis","Cystopteris","tenuis"," (Michx.) Desv., Upland Brittle Bladder Fern  (Wagner 2001 US) ","Cystopteris tenuis (Michx.) De",FALSE,63,FALSE,2650813,"Cystopteris tenuis (Michx.) Desv.","Cystopteris tenuis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Cystopteridaceae","Cystopteris","Cystopteris tenuis",6,7707728,7228684,392,4021011,2650798,2650813,FALSE,"Polypodiopsida","Cystopteris tenuis","unambiguous",NA,NA
"Gymnocarpium appalachianum K. M. Pryer & Haufler, Appalachian  Oak Fern—see Excluded Flora section. ","Gymnocarpium appalachianum","Gymnocarpium","appalachianum"," K. M. Pryer & Haufler, Appalachian  Oak Fern—see Excluded Flora section. ","Gymnocarpium appalachianum K. ",TRUE,74,FALSE,2650849,"Gymnocarpium appalachianum Pryer & Haufler","Gymnocarpium appalachianum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Polypodiales","Cystopteridaceae","Gymnocarpium","Gymnocarpium appalachianum",6,7707728,7228684,392,4021011,2650831,2650849,FALSE,"Polypodiopsida","Gymnocarpium appalachianum","unambiguous",NA,NA
